  
       XFOIL         Version 6.99
  
 Calculated polar for: Fage & Collins 4                                
  -0.250  -0.0249   0.05018   0.04033  -0.0190   0.8286   0.1695
  -0.500  -0.0583   0.05030   0.04107  -0.0189   0.8403   0.1817
  -0.750  -0.0842   0.05100   0.04217  -0.0196   0.8532   0.1965
  -1.000  -0.1208   0.05235   0.04403  -0.0188   0.8654   0.2237
  -1.250  -0.1783   0.05365   0.04655  -0.0143   0.8771   0.3117
  -1.500  -0.3053   0.05702   0.05280   0.0438   0.8970   0.7675
  -1.750  -0.2543   0.05883   0.05455   0.0369   0.9082   0.7876
  -2.000  -0.1988   0.06031   0.05593   0.0278   0.9207   0.8034
  -2.250  -0.1368   0.06153   0.05703   0.0186   0.9340   0.8284
  -2.500  -0.0836   0.06258   0.05798   0.0118   0.9495   0.8745
  -2.750  -0.0263   0.06294   0.05824   0.0029   0.9668   0.9236
  -3.000   0.0246   0.06310   0.05828  -0.0064   0.9883   0.9786
  -3.250   0.0478   0.06342   0.05843  -0.0110   1.0000   1.0000
  -3.500   0.0559   0.06341   0.05831  -0.0127   1.0000   1.0000
  -3.750   0.0642   0.06337   0.05814  -0.0146   1.0000   1.0000
  -4.000   0.0723   0.06344   0.05808  -0.0165   1.0000   1.0000
  -4.250   0.0789   0.06364   0.05815  -0.0185   1.0000   1.0000
  -4.500   0.0837   0.06410   0.05848  -0.0204   1.0000   1.0000
  -4.750  -0.4843   0.08616   0.08117   0.0145   1.0000   0.3237
  -5.000  -0.4719   0.08726   0.08225   0.0131   1.0000   0.3067
  -5.250  -0.4557   0.08881   0.08376   0.0120   1.0000   0.2936
  -5.500  -0.4661   0.09222   0.08704   0.0072   1.0000   0.2839
  -6.000  -0.4408   0.09536   0.09004   0.0036   1.0000   0.2637
  -6.250  -0.4119   0.09575   0.09034   0.0025   1.0000   0.2560
  -6.500  -0.4345   0.10006   0.09456  -0.0019   1.0000   0.2458
  -6.750  -0.3915   0.09958   0.09396  -0.0025   1.0000   0.2417
  -7.000  -0.3691   0.10036   0.09462  -0.0056   1.0000   0.2362
  -6.750  -0.3915   0.09958   0.09396  -0.0025   1.0000   0.2417
  -6.850  -0.3807   0.09980   0.09413  -0.0036   1.0000   0.2398
  -6.950  -0.3719   0.10011   0.09440  -0.0050   1.0000   0.2371
  -7.250  -0.3926   0.10487   0.09908  -0.0078   1.0000   0.2260
  -7.500  -0.3546   0.10460   0.09865  -0.0107   1.0000   0.2240
  -7.750  -0.3305   0.10517   0.09907  -0.0130   1.0000   0.2181
  -8.000  -0.3677   0.11105   0.10495  -0.0152   1.0000   0.2075
  -8.250  -0.3315   0.11053   0.10426  -0.0171   1.0000   0.2060
  -8.500  -0.3086   0.11085   0.10444  -0.0184   1.0000   0.2005
  -8.750  -0.3176   0.11375   0.10729  -0.0206   1.0000   0.1924
  -9.000  -0.3303   0.11840   0.11188  -0.0223   1.0000   0.1884
  -9.250  -0.3004   0.11765   0.11097  -0.0227   1.0000   0.1853
  -9.500  -0.2922   0.11899   0.11221  -0.0236   1.0000   0.1799
  -9.750  -0.3015   0.12210   0.11528  -0.0253   1.0000   0.1737
 -10.000  -0.3236   0.12830   0.12144  -0.0272   1.0000   0.1700
 -10.250  -0.2986   0.12737   0.12036  -0.0268   1.0000   0.1681
 -10.500  -0.2880   0.12819   0.12108  -0.0267   1.0000   0.1637
 -10.750  -0.2894   0.13051   0.12333  -0.0273   1.0000   0.1584
 -11.000  -0.3094   0.13552   0.12834  -0.0293   1.0000   0.1534
 -11.250  -0.3181   0.14029   0.13304  -0.0300   1.0000   0.1513
 -11.500  -0.2998   0.13946   0.13209  -0.0288   1.0000   0.1495
 -11.750  -0.2938   0.14052   0.13307  -0.0283   1.0000   0.1458
 -12.000  -0.2959   0.14280   0.13528  -0.0284   1.0000   0.1415
 -12.250  -0.3066   0.14645   0.13890  -0.0293   1.0000   0.1369
 -12.500  -0.3356   0.15521   0.14766  -0.0314   1.0000   0.1336
 -12.750  -0.3193   0.15396   0.14631  -0.0297   1.0000   0.1327
 -13.000  -0.3095   0.15372   0.14598  -0.0283   1.0000   0.1296
 -13.250  -0.3108   0.15571   0.14792  -0.0278   1.0000   0.1258
 -13.500  -0.3164   0.15845   0.15062  -0.0278   1.0000   0.1222
 -13.750  -0.3285   0.16267   0.15483  -0.0285   1.0000   0.1189
 -14.000  -0.3597   0.17306   0.16522  -0.0304   1.0000   0.1165
 -14.250  -0.3467   0.17161   0.16368  -0.0285   1.0000   0.1160
 -14.500  -0.3380   0.17078   0.16278  -0.0268   1.0000   0.1146
 -14.750  -0.3377   0.17194   0.16390  -0.0257   1.0000   0.1121
 -15.000  -0.3415   0.17417   0.16610  -0.0250   1.0000   0.1093
 -15.250  -0.3476   0.17693   0.16882  -0.0247   1.0000   0.1061
 -15.500  -0.3572   0.18054   0.17241  -0.0247   1.0000   0.1034
 -15.750  -0.3913   0.19332   0.18520  -0.0268   1.0000   0.1007
 -16.000  -0.3805   0.19105   0.18286  -0.0247   1.0000   0.1002
 -16.250  -0.3745   0.18974   0.18150  -0.0228   1.0000   0.0991
 -16.500  -0.3753   0.19058   0.18229  -0.0213   1.0000   0.0969
 -16.750  -0.3802   0.19279   0.18448  -0.0203   1.0000   0.0945
 -17.000  -0.3866   0.19537   0.18704  -0.0196   1.0000   0.0923
 -17.250  -0.3941   0.19828   0.18993  -0.0190   1.0000   0.0904
 -17.500  -0.4038   0.20207   0.19371  -0.0187   1.0000   0.0885
 -17.750  -0.4327   0.21537   0.20701  -0.0202   1.0000   0.0865
 -18.000  -0.4271   0.21326   0.20485  -0.0182   1.0000   0.0862
 -18.250  -0.4239   0.21161   0.20315  -0.0160   1.0000   0.0854
 -18.500  -0.4259   0.21201   0.20353  -0.0142   1.0000   0.0837
 -18.750  -0.4315   0.21400   0.20550  -0.0128   1.0000   0.0814
 -19.000  -0.4384   0.21657   0.20805  -0.0118   1.0000   0.0792
 -19.250  -0.4463   0.21950   0.21097  -0.0110   1.0000   0.0773
 -19.500  -0.4555   0.22318   0.21463  -0.0104   1.0000   0.0758
 -19.750  -0.4731   0.23220   0.22367  -0.0110   1.0000   0.0743
 -20.000  -0.4773   0.23404   0.22546  -0.0094   1.0000   0.0739
