  
       XFOIL         Version 6.99
  
 Calculated polar for: Fage & Collins 2                                
  -1.000  -0.1102   0.02820   0.01765  -0.0055   1.0000   0.1535
  -1.250  -0.1293   0.02888   0.01860  -0.0065   1.0000   0.1578
  -1.500  -0.1478   0.02979   0.01969  -0.0078   1.0000   0.1607
  -1.750  -0.1664   0.03091   0.02100  -0.0091   1.0000   0.1621
  -2.000  -0.1882   0.03185   0.02251  -0.0106   1.0000   0.1731
  -2.250  -0.2111   0.03348   0.02457  -0.0119   1.0000   0.1900
  -2.500  -0.2371   0.03540   0.02708  -0.0127   1.0000   0.2205
  -2.750  -0.3293   0.03982   0.03389   0.0058   1.0000   0.4609
  -3.000  -0.3402   0.04472   0.03965   0.0467   1.0000   0.7486
  -3.250  -0.2930   0.04568   0.04036   0.0383   1.0000   0.7644
  -3.500  -0.2457   0.04644   0.04084   0.0303   1.0000   0.7902
  -3.750  -0.1964   0.04686   0.04096   0.0220   1.0000   0.8255
  -4.000  -0.1470   0.04694   0.04076   0.0134   1.0000   0.8765
  -4.250  -0.0912   0.04603   0.03954   0.0017   1.0000   0.9247
  -4.500  -0.0328   0.04454   0.03777  -0.0128   1.0000   0.9755
  -4.750   0.0021   0.04373   0.03673  -0.0233   1.0000   1.0000
  -5.000  -0.0076   0.04573   0.03867  -0.0229   1.0000   1.0000
  -5.250  -0.0174   0.04779   0.04070  -0.0223   1.0000   1.0000
  -5.500  -0.4180   0.07145   0.06570   0.0043   1.0000   0.3820
  -5.750  -0.4255   0.07445   0.06863  -0.0015   1.0000   0.3397
  -6.000  -0.4313   0.07750   0.07160  -0.0056   1.0000   0.3108
  -6.250  -0.4219   0.07931   0.07332  -0.0061   1.0000   0.2881
  -6.500  -0.4343   0.08333   0.07727  -0.0102   1.0000   0.2662
  -6.750  -0.4312   0.08586   0.07972  -0.0108   1.0000   0.2506
  -7.000  -0.4332   0.08895   0.08274  -0.0122   1.0000   0.2361
  -7.250  -0.4355   0.09222   0.08593  -0.0136   1.0000   0.2215
  -7.500  -0.4175   0.09337   0.08693  -0.0124   1.0000   0.2140
  -7.750  -0.4189   0.09658   0.09005  -0.0136   1.0000   0.2043
  -8.000  -0.4280   0.10052   0.09396  -0.0152   1.0000   0.1915
  -8.250  -0.4113   0.10153   0.09481  -0.0144   1.0000   0.1863
  -8.500  -0.4191   0.10544   0.09867  -0.0156   1.0000   0.1758
  -8.750  -0.4126   0.10719   0.10035  -0.0148   1.0000   0.1690
  -9.000  -0.4203   0.11127   0.10438  -0.0156   1.0000   0.1610
  -9.250  -0.4152   0.11308   0.10609  -0.0146   1.0000   0.1540
  -9.500  -0.4296   0.11832   0.11132  -0.0161   1.0000   0.1472
  -9.750  -0.4193   0.11925   0.11213  -0.0140   1.0000   0.1432
 -10.000  -0.4304   0.12337   0.11625  -0.0149   1.0000   0.1351
 -10.250  -0.4336   0.12721   0.12001  -0.0144   1.0000   0.1321
 -10.500  -0.4273   0.12848   0.12120  -0.0125   1.0000   0.1285
 -10.750  -0.4324   0.13162   0.12431  -0.0122   1.0000   0.1225
 -11.000  -0.4500   0.13832   0.13102  -0.0137   1.0000   0.1180
 -11.250  -0.4411   0.13871   0.13130  -0.0112   1.0000   0.1163
 -11.500  -0.4403   0.14071   0.13324  -0.0098   1.0000   0.1122
 -11.750  -0.4465   0.14397   0.13649  -0.0094   1.0000   0.1079
 -12.000  -0.4656   0.15159   0.14415  -0.0110   1.0000   0.1033
 -12.250  -0.4590   0.15189   0.14436  -0.0085   1.0000   0.1022
 -12.500  -0.4576   0.15330   0.14572  -0.0067   1.0000   0.0991
 -12.750  -0.4621   0.15619   0.14858  -0.0059   1.0000   0.0946
 -13.000  -0.4902   0.16694   0.15938  -0.0087   1.0000   0.0889
 -13.250  -0.4859   0.16730   0.15967  -0.0064   1.0000   0.0885
 -13.500  -0.4809   0.16730   0.15960  -0.0040   1.0000   0.0874
 -13.750  -0.4822   0.16894   0.16120  -0.0023   1.0000   0.0852
 -14.000  -0.4866   0.17162   0.16385  -0.0011   1.0000   0.0822
 -14.250  -0.4930   0.17479   0.16701  -0.0003   1.0000   0.0794
 -14.500  -0.5023   0.17899   0.17121  -0.0000   1.0000   0.0768
 -14.750  -0.5241   0.18964   0.18187  -0.0012   1.0000   0.0744
 -15.000  -0.5220   0.18962   0.18179   0.0009   1.0000   0.0741
 -15.250  -0.5212   0.18973   0.18186   0.0031   1.0000   0.0734
 -15.500  -0.5240   0.19093   0.18306   0.0050   1.0000   0.0721
 -15.750  -0.5286   0.19311   0.18521   0.0066   1.0000   0.0696
 -16.000  -0.5350   0.19598   0.18807   0.0078   1.0000   0.0675
 -16.250  -0.5421   0.19901   0.19108   0.0089   1.0000   0.0656
 -16.500  -0.5504   0.20270   0.19477   0.0097   1.0000   0.0634
 -16.750  -0.5780   0.21841   0.21052   0.0077   1.0000   0.0605
 -17.000  -0.5767   0.21738   0.20944   0.0099   1.0000   0.0603
 -17.250  -0.5768   0.21649   0.20851   0.0122   1.0000   0.0600
 -17.500  -0.5787   0.21596   0.20795   0.0147   1.0000   0.0592
 -17.750  -0.5839   0.21737   0.20933   0.0168   1.0000   0.0576
 -18.000  -0.5908   0.21982   0.21176   0.0184   1.0000   0.0561
 -18.250  -0.5979   0.22261   0.21454   0.0199   1.0000   0.0542
 -18.500  -0.6055   0.22549   0.21742   0.0213   1.0000   0.0528
 -18.750  -0.6132   0.22865   0.22057   0.0225   1.0000   0.0513
 -19.000  -0.6214   0.23213   0.22405   0.0237   1.0000   0.0500
 -19.250  -0.6313   0.23734   0.22931   0.0243   1.0000   0.0487
 -19.500  -0.6504   0.25175   0.24373   0.0235   1.0000   0.0476
 -19.750  -0.6519   0.25009   0.24203   0.0259   1.0000   0.0474
 -20.000  -0.6553   0.24934   0.24125   0.0284   1.0000   0.0472
