  
       XFOIL         Version 6.99
  
 Calculated polar for: S1046 17% (Danny Howell)                        
  -0.250  -0.0471   0.03965   0.03058   0.0031   0.8261   0.7968
  -0.500  -0.0953   0.03957   0.03050   0.0064   0.8409   0.7829
  -0.750  -0.1502   0.03932   0.03026   0.0105   0.8557   0.7689
  -1.000  -0.2288   0.03886   0.02981   0.0180   0.8688   0.7544
  -1.250  -0.2746   0.03873   0.02971   0.0212   0.8827   0.7388
  -1.500  -0.3123   0.03876   0.02978   0.0234   0.8970   0.7233
  -1.750  -0.3493   0.03879   0.02986   0.0257   0.9115   0.7080
  -2.000  -0.3875   0.03885   0.02996   0.0282   0.9262   0.6929
  -2.250  -0.4273   0.03885   0.03001   0.0310   0.9409   0.6780
  -2.500  -0.4706   0.03878   0.02999   0.0344   0.9556   0.6634
  -2.750  -0.5174   0.03856   0.02983   0.0384   0.9702   0.6488
  -3.000  -0.5684   0.03810   0.02941   0.0428   0.9845   0.6345
  -3.250  -0.6217   0.03749   0.02886   0.0477   0.9990   0.6201
  -3.250  -0.6217   0.03749   0.02886   0.0477   0.9990   0.6201
  -3.350  -0.6201   0.03849   0.02994   0.0478   1.0000   0.6128
  -3.450  -0.6235   0.03865   0.03011   0.0470   1.0000   0.6083
  -3.750  -0.6275   0.03978   0.03130   0.0446   1.0000   0.5947
  -4.000  -0.6431   0.03957   0.03106   0.0424   1.0000   0.5860
  -4.250  -0.6365   0.04119   0.03276   0.0399   1.0000   0.5737
  -4.500  -0.6258   0.04296   0.03458   0.0369   1.0000   0.5630
  -4.750  -0.6424   0.04268   0.03429   0.0346   1.0000   0.5547
  -5.000  -0.5988   0.04612   0.03776   0.0296   1.0000   0.5439
  -5.250  -0.6212   0.04553   0.03717   0.0273   1.0000   0.5362
  -5.500  -0.5040   0.05126   0.04275   0.0166   1.0000   0.5296
  -5.750  -0.5732   0.04909   0.04066   0.0174   1.0000   0.5204
  -6.000  -0.4406   0.05610   0.04727   0.0071   1.0000   0.5153
  -6.250  -0.5162   0.05432   0.04566   0.0085   1.0000   0.5041
  -6.500  -0.4294   0.06081   0.05187   0.0038   1.0000   0.4984
  -6.750  -0.4800   0.06034   0.05150   0.0036   1.0000   0.4874
  -7.000  -0.4299   0.06570   0.05670   0.0021   1.0000   0.4815
  -7.250  -0.4717   0.06592   0.05701   0.0017   1.0000   0.4708
  -7.500  -0.4353   0.07088   0.06188   0.0014   1.0000   0.4661
  -7.750  -0.4732   0.07138   0.06246   0.0007   1.0000   0.4543
  -8.000  -0.4459   0.07620   0.06722   0.0011   1.0000   0.4516
  -8.250  -0.4342   0.08003   0.07104   0.0015   1.0000   0.4482
  -8.500  -0.4592   0.08162   0.07269   0.0011   1.0000   0.4366
  -8.750  -0.4503   0.08578   0.07685   0.0020   1.0000   0.4361
  -9.000  -0.4485   0.08977   0.08086   0.0030   1.0000   0.4368
  -9.250  -0.4572   0.09381   0.08498   0.0042   1.0000   0.4389
  -9.250  -0.4757   0.09137   0.08254   0.0024   1.0000   0.4220
 -10.500  -0.4231   0.11432   0.10559   0.0112   1.0000   0.4732
 -10.750  -0.4190   0.11639   0.10767   0.0111   1.0000   0.4621
 -11.000  -0.4398   0.12055   0.11190   0.0119   1.0000   0.4535
 -11.250  -0.4486   0.12309   0.11448   0.0121   1.0000   0.4405
 -11.500  -0.4436   0.12528   0.11668   0.0123   1.0000   0.4306
 -11.750  -0.4680   0.12991   0.12139   0.0131   1.0000   0.4213
 -12.000  -0.4661   0.13168   0.12318   0.0133   1.0000   0.4095
 -12.250  -0.4684   0.13462   0.12615   0.0139   1.0000   0.4004
 -12.500  -0.5019   0.14027   0.13191   0.0146   1.0000   0.3896
 -12.750  -0.4837   0.14069   0.13231   0.0151   1.0000   0.3801
 -13.000  -0.5011   0.14513   0.13680   0.0158   1.0000   0.3720
 -13.250  -0.5077   0.14765   0.13938   0.0163   1.0000   0.3599
 -13.500  -0.5075   0.15062   0.14236   0.0173   1.0000   0.3533
 -13.750  -0.5416   0.15692   0.14877   0.0176   1.0000   0.3414
 -14.000  -0.5202   0.15663   0.14844   0.0190   1.0000   0.3337
 -14.250  -0.5488   0.16280   0.15471   0.0193   1.0000   0.3250
 -14.500  -0.5360   0.16310   0.15499   0.0208   1.0000   0.3156
 -14.750  -0.5554   0.16841   0.16036   0.0214   1.0000   0.3084
 -15.000  -0.5529   0.16980   0.16177   0.0226   1.0000   0.2980
 -15.250  -0.5627   0.17390   0.16590   0.0236   1.0000   0.2912
 -15.500  -0.5726   0.17695   0.16900   0.0244   1.0000   0.2804
 -15.750  -0.5740   0.17993   0.17198   0.0260   1.0000   0.2739
 -16.000  -0.6069   0.18768   0.17983   0.0256   1.0000   0.2623
 -16.250  -0.5874   0.18627   0.17835   0.0285   1.0000   0.2569
 -16.500  -0.6188   0.19415   0.18633   0.0280   1.0000   0.2467
 -16.750  -0.6022   0.19284   0.18495   0.0310   1.0000   0.2412
 -17.000  -0.6357   0.20155   0.19377   0.0302   1.0000   0.2314
 -17.250  -0.6183   0.19969   0.19184   0.0337   1.0000   0.2272
 -17.500  -0.6322   0.20353   0.19571   0.0343   1.0000   0.2184
 -17.750  -0.6391   0.20753   0.19970   0.0359   1.0000   0.2146
 -18.000  -0.6409   0.20908   0.20125   0.0380   1.0000   0.2066
 -18.250  -0.6665   0.21713   0.20936   0.0376   1.0000   0.2009
 -18.500  -0.6562   0.21586   0.20802   0.0411   1.0000   0.1969
 -18.750  -0.6668   0.21913   0.21131   0.0423   1.0000   0.1896
 -19.000  -0.6839   0.22552   0.21774   0.0428   1.0000   0.1857
 -19.250  -0.6790   0.22512   0.21728   0.0460   1.0000   0.1809
 -19.500  -0.6898   0.22851   0.22070   0.0472   1.0000   0.1751
 -19.750  -0.7103   0.23624   0.22846   0.0473   1.0000   0.1713
 -20.000  -0.7032   0.23465   0.22681   0.0510   1.0000   0.1673
